messageId,camId,timestamp,latitude,longitude,heading,speed,acceleration
2,7,29952,45.0531,7.65562,90,6.93,0.9
2,0,30023,45.0523,7.65706,90,20.82,0.4
2,3,30080,45.0531,7.65675,90,9.71,-0.6
2,0,30223,45.0523,7.65711,90,20.82,0.1
2,1,30233,45.0523,7.65538,270,6.93,-0.1
2,0,30423,45.0523,7.65716,90,20.82,0.2
2,7,30552,45.0531,7.65568,90,6.92,-0.5
2,3,30580,45.0531,7.65681,90,9.71,1.6
2,0,30623,45.0523,7.65721,90,20.81,-1
2,0,30823,45.0523,7.65727,90,20.82,-0.4
2,1,30833,45.0523,7.65532,270,6.92,-1.6
2,0,31023,45.0523,7.65732,90,20.82,-0.1
2,3,31080,45.0531,7.65687,90,9.71,0
2,7,31152,45.0531,7.65573,90,6.93,1
2,0,31223,45.0523,7.65737,90,20.81,0
2,0,31423,45.0523,7.65742,90,20.82,1.6
2,1,31433,45.0523,7.65527,270,6.93,0.9
2,3,31580,45.0531,7.65693,90,9.7,-0.2
2,0,31623,45.0523,7.65747,90,20.82,0.8
2,7,31752,45.0531,7.65578,90,6.92,-0.8
2,0,31823,45.0523,7.65753,90,20.82,0.4
2,5,31847,45.0523,7.65755,270,13.88,0.4
2,0,32023,45.0523,7.65758,90,20.81,-0.8
2,1,32033,45.0523,7.65522,270,6.92,0.1
2,3,32080,45.0531,7.65699,90,9.71,0
2,5,32147,45.0523,7.65749,270,13.88,0.6
2,0,32223,45.0523,7.65763,90,20.81,-0.5
2,7,32352,45.0531,7.65583,90,6.93,-0.1
2,5,32447,45.0523,7.65744,270,13.87,-0.4
2,3,32580,45.0531,7.65705,90,9.7,-1.5
2,1,32633,45.0523,7.65517,270,6.92,-0.6
2,5,32747,45.0523,7.65739,270,13.87,-1
2,7,32952,45.0531,7.65588,90,6.93,0.8
2,5,33047,45.0523,7.65734,270,13.88,0.3
2,3,33080,45.0531,7.65711,90,9.71,-0.3
2,1,33233,45.0523,7.65512,270,6.93,1.8
2,5,33347,45.0523,7.65729,270,13.88,-0.5
2,7,33552,45.0531,7.65594,90,6.92,-1.2
2,3,33580,45.0531,7.65717,90,9.71,0.6
2,5,33647,45.0523,7.65723,270,13.88,0.4
2,1,33833,45.0523,7.65506,270,6.92,-0.7
2,5,33947,45.0523,7.65718,270,13.88,-0.3
2,3,34080,45.0531,7.65723,90,9.71,-0.1
2,7,34152,45.0531,7.65599,90,6.92,0
2,5,34247,45.0523,7.65713,270,13.88,0.2
2,1,34433,45.0523,7.65501,270,6.93,0.1
2,5,34547,45.0523,7.65708,270,13.88,0
2,3,34580,45.0531,7.65729,90,9.7,-1.3
2,7,34752,45.0531,7.65604,90,6.93,0.9
2,5,34847,45.0523,7.65703,270,13.88,0.4
2,1,35033,45.0523,7.65496,270,6.92,0.2
2,3,35080,45.0531,7.65735,90,9.7,-0.7
2,5,35147,45.0523,7.65697,270,13.87,-0.9
2,7,35352,45.0531,7.65609,90,6.93,1
2,5,35447,45.0523,7.65692,270,13.88,-0.3
2,3,35580,45.0531,7.65741,90,9.7,-0.2
